Date,Time,Round,Day,Venue,Result,GF_reg,GA_reg,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Season,Comp,xG,xGA,GF_pen,GA_pen,match_outcome,goal_difference,home_advantage,home_team_form,goal_difference_rolling
1996-09-11,Unknown,Group stage,Wed,Home,W,2,1,pl Widzew Łódź,0.0,0.0,Unknown,Unknown,Karol Ihring,Match Report,1996-1997,,0.0,0.0,0,0,1,1,1,0.0,0.0
1996-09-25,Unknown,Group stage,Wed,Away,W,3,0,ro Steaua,0.0,0.0,Unknown,Unknown,Paul Durkin,Match Report,1996-1997,,0.0,0.0,0,0,1,3,0,0.0,0.0
1996-10-16,Unknown,Group stage,Wed,Away,W,1,0,es Atlético Madrid,0.0,0.0,Unknown,Unknown,Michel Piraux,Match Report,1996-1997,,0.0,0.0,0,0,1,1,0,0.0,0.0
1996-10-30,Unknown,Group stage,Wed,Home,L,1,2,es Atlético Madrid,0.0,0.0,Unknown,Unknown,László Vagner,Match Report,1996-1997,,0.0,0.0,0,0,0,-1,1,0.0,0.0
1996-11-20,Unknown,Group stage,Wed,Away,D,2,2,pl Widzew Łódź,0.0,0.0,Unknown,Unknown,Rune Pedersen,Match Report,1996-1997,,0.0,0.0,0,0,0,0,0,0.0,0.0
1996-12-04,Unknown,Group stage,Wed,Home,W,5,3,ro Steaua,0.0,0.0,Unknown,Unknown,Hugh Dallas,Match Report,1996-1997,,0.0,0.0,0,0,1,2,1,0.6,0.8
1997-03-05,Unknown,Quarter-finals,Wed,Home,W,3,1,fr Auxerre,0.0,0.0,Unknown,Unknown,García Aranda,Match Report,1996-1997,,0.0,0.0,0,0,1,2,1,0.6,1.0
1997-03-19,Unknown,Quarter-finals,Wed,Away,W,1,0,fr Auxerre,0.0,0.0,Unknown,Unknown,Günter Benkö,Match Report,1996-1997,,0.0,0.0,0,0,1,1,0,0.6,0.8
1997-04-09,Unknown,Semi-finals,Wed,Home,W,1,0,eng Manchester Utd,0.0,0.0,Unknown,Unknown,Nikolai Levnikov,Match Report,1996-1997,,0.0,0.0,0,0,1,1,1,0.6,0.8
1997-04-23,Unknown,Semi-finals,Wed,Away,W,1,0,eng Manchester Utd,0.0,0.0,Unknown,Unknown,Urs Meier,Match Report,1996-1997,,0.0,0.0,0,0,1,1,0,0.8,1.2
1997-05-28,Unknown,Final,Wed,Neutral,W,3,1,it Juventus,0.0,0.0,Unknown,Unknown,Sándor Puhl,Match Report,1996-1997,,0.0,0.0,0,0,1,2,0,1.0,1.4
1997-09-17,Unknown,Group stage,Wed,Away,W,1,0,tr Galatasaray,0.0,0.0,Unknown,Unknown,García Aranda,Match Report,1997-1998,,0.0,0.0,0,0,1,1,0,1.0,1.4
1997-10-01,Unknown,Group stage,Wed,Home,W,4,1,cz Sparta Prague,0.0,0.0,Unknown,Unknown,Vítor Melo Pereira,Match Report,1997-1998,,0.0,0.0,0,0,1,3,1,1.0,1.2
1997-10-22,Unknown,Group stage,Wed,Away,L,0,1,it Parma,0.0,0.0,Unknown,Unknown,Gilles Veissière,Match Report,1997-1998,,0.0,0.0,0,0,0,-1,0,1.0,1.6
1997-11-05,Unknown,Group stage,Wed,Home,W,2,0,it Parma,0.0,0.0,Unknown,Unknown,Kim Milton Nielsen,Match Report,1997-1998,,0.0,0.0,0,0,1,2,1,0.8,1.2
1997-11-27,Unknown,Group stage,Thu,Home,W,4,1,tr Galatasaray,0.0,0.0,Unknown,Unknown,Rune Pedersen,Match Report,1997-1998,,0.0,0.0,0,0,1,3,1,0.8,1.4
1997-12-10,Unknown,Group stage,Wed,Away,W,3,0,cz Sparta Prague,0.0,0.0,Unknown,Unknown,Hugh Dallas,Match Report,1997-1998,,0.0,0.0,0,0,1,3,0,0.8,1.6
1998-03-04,Unknown,Quarter-finals,Wed,Away,D,0,0,de Bayern Munich,0.0,0.0,Unknown,Unknown,Pierluigi Collina,Match Report,1997-1998,,0.0,0.0,0,0,0,0,0,0.8,2.0
1998-03-18,Unknown,Quarter-finals,Wed,Home,W,1,0,de Bayern Munich,0.0,0.0,Unknown,Unknown,László Vagner,Match Report,1997-1998,,0.0,0.0,0,0,1,1,1,0.6,1.4
1998-04-01,Unknown,Semi-finals,Wed,Away,L,0,2,es Real Madrid,0.0,0.0,Unknown,Unknown,Mario van der Ende,Match Report,1997-1998,,0.0,0.0,0,0,0,-2,0,0.8,1.8
1998-04-15,Unknown,Semi-finals,Wed,Home,D,0,0,es Real Madrid,0.0,0.0,Unknown,Unknown,Paul Durkin,Match Report,1997-1998,,0.0,0.0,0,0,0,0,1,0.6,1.0
1999-08-11,Unknown,Third qualifying round,Wed,Away,W,1,0,cz Teplice,0.0,0.0,Unknown,Unknown,Dermot Gallagher,Match Report,1999-2000,,0.0,0.0,0,0,1,1,0,0.4,0.4
1999-08-25,Unknown,Third qualifying round,Wed,Home,W,1,0,cz Teplice,0.0,0.0,Unknown,Unknown,Alfredo Trentalange,Match Report,1999-2000,,0.0,0.0,0,0,1,1,1,0.4,0.0
1999-09-14,Unknown,First group stage,Tue,Away,D,1,1,nl Feyenoord,0.0,0.0,Unknown,Unknown,García Aranda,Match Report,1999-2000,,0.0,0.0,0,0,0,0,0,0.6,0.2
1999-09-22,Unknown,First group stage,Wed,Home,W,3,1,pt Boavista,0.0,0.0,Unknown,Unknown,Atanas Ouzounov,Match Report,1999-2000,,0.0,0.0,0,0,1,2,1,0.4,0.0
1999-09-29,Unknown,First group stage,Wed,Away,D,2,2,no Rosenborg,0.0,0.0,Unknown,Unknown,Paul Durkin,Match Report,1999-2000,,0.0,0.0,0,0,0,0,0,0.6,0.8
1999-10-19,Unknown,First group stage,Tue,Home,L,0,3,no Rosenborg,0.0,0.0,Unknown,Unknown,López Nieto,Match Report,1999-2000,,0.0,0.0,0,0,0,-3,1,0.6,0.8
1999-10-27,Unknown,First group stage,Wed,Home,D,1,1,nl Feyenoord,0.0,0.0,Unknown,Unknown,Claude Colombo,Match Report,1999-2000,,0.0,0.0,0,0,0,0,1,0.4,0.0
1999-11-02,Unknown,First group stage,Tue,Away,L,0,1,pt Boavista,0.0,0.0,Unknown,Unknown,Ľuboš Michel,Match Report,1999-2000,,0.0,0.0,0,0,0,-1,0,0.2,-0.2
2001-08-07,Unknown,Third qualifying round,Tue,Away,W,2,0,ua Shakhtar Donetsk,0.0,0.0,Unknown,Unknown,Knud Erik Fisker,Match Report,2001-2002,,0.0,0.0,0,0,1,2,0,0.2,-0.4
2001-08-22,Unknown,Third qualifying round,Wed,Home,W,3,1,ua Shakhtar Donetsk,0.0,0.0,Unknown,Unknown,Karl-Erik Nilsson,Match Report,2001-2002,,0.0,0.0,0,0,1,2,1,0.2,-0.4
2001-09-11,Unknown,First group stage,Tue,Away,D,2,2,ua Dynamo Kyiv,0.0,0.0,Unknown,Unknown,Ľuboš Michel,Match Report,2001-2002,,0.0,0.0,0,0,0,0,0,0.4,0.0
2001-09-19,Unknown,First group stage,Wed,Home,D,0,0,eng Liverpool,0.0,0.0,Unknown,Unknown,Valentin Ivanov,Match Report,2001-2002,,0.0,0.0,0,0,0,0,1,0.4,0.6
2001-09-26,Unknown,First group stage,Wed,Away,L,1,2,pt Boavista,0.0,0.0,Unknown,Unknown,Rune Pedersen,Match Report,2001-2002,,0.0,0.0,0,0,0,-1,0,0.4,0.6
2001-10-16,Unknown,First group stage,Tue,Home,W,2,1,pt Boavista,0.0,0.0,Unknown,Unknown,Stefano Braschi,Match Report,2001-2002,,0.0,0.0,0,0,1,1,1,0.4,0.6
2001-10-24,Unknown,First group stage,Wed,Home,W,1,0,ua Dynamo Kyiv,0.0,0.0,Unknown,Unknown,Kyros Vassaras,Match Report,2001-2002,,0.0,0.0,0,0,1,1,1,0.4,0.4
2001-10-30,Unknown,First group stage,Tue,Away,L,0,2,eng Liverpool,0.0,0.0,Unknown,Unknown,Kim Milton Nielsen,Match Report,2001-2002,,0.0,0.0,0,0,0,-2,0,0.4,0.2
2002-09-17,Unknown,First group stage,Tue,Away,L,0,2,eng Arsenal,0.0,0.0,Unknown,Unknown,Anders Frisk,Match Report,2002-2003,,0.0,0.0,0,0,0,-2,0,0.4,-0.2
2002-09-25,Unknown,First group stage,Wed,Home,W,2,1,fr Auxerre,0.0,0.0,Unknown,Unknown,Terje Hauge,Match Report,2002-2003,,0.0,0.0,0,0,1,1,1,0.4,-0.6
2002-10-02,Unknown,First group stage,Wed,Away,W,3,1,nl PSV Eindhoven,0.0,0.0,Unknown,Unknown,Pierluigi Collina,Match Report,2002-2003,,0.0,0.0,0,0,1,2,0,0.6,-0.2
2002-10-22,Unknown,First group stage,Tue,Home,D,1,1,nl PSV Eindhoven,0.0,0.0,Unknown,Unknown,Lucílio Batista,Match Report,2002-2003,,0.0,0.0,0,0,0,0,1,0.6,0.0
2002-10-30,Unknown,First group stage,Wed,Home,W,2,1,eng Arsenal,0.0,0.0,Unknown,Unknown,Mejuto González,Match Report,2002-2003,,0.0,0.0,0,0,1,1,1,0.4,-0.2
2002-11-12,Unknown,First group stage,Tue,Away,L,0,1,fr Auxerre,0.0,0.0,Unknown,Unknown,Sorin Corpodean,Match Report,2002-2003,,0.0,0.0,0,0,0,-1,0,0.6,0.4
2002-11-26,Unknown,Second group stage,Tue,Away,W,2,1,ru Loko Moscow,0.0,0.0,Unknown,Unknown,René Temmink,Match Report,2002-2003,,0.0,0.0,0,0,1,1,0,0.6,0.6
2002-12-11,Unknown,Second group stage,Wed,Home,L,0,1,it Milan,0.0,0.0,Unknown,Unknown,Anders Frisk,Match Report,2002-2003,,0.0,0.0,0,0,0,-1,1,0.6,0.6
2003-02-19,Unknown,Second group stage,Wed,Away,L,1,2,es Real Madrid,0.0,0.0,Unknown,Unknown,Ľuboš Michel,Match Report,2002-2003,,0.0,0.0,0,0,0,-1,0,0.4,0.0
2003-02-25,Unknown,Second group stage,Tue,Home,D,1,1,es Real Madrid,0.0,0.0,Unknown,Unknown,Graham Poll,Match Report,2002-2003,,0.0,0.0,0,0,0,0,1,0.4,-0.2
2003-03-12,Unknown,Second group stage,Wed,Home,W,3,0,ru Loko Moscow,0.0,0.0,Unknown,Unknown,Frank de Bleeckere,Match Report,2002-2003,,0.0,0.0,0,0,1,3,1,0.2,-0.4
2003-03-18,Unknown,Second group stage,Tue,Away,W,1,0,it Milan,0.0,0.0,Unknown,Unknown,Graham Barber,Match Report,2002-2003,,0.0,0.0,0,0,1,1,0,0.4,0.4
2003-08-13,Unknown,Third qualifying round,Wed,Away,L,1,2,be Club Brugge,0.0,0.0,Unknown,Unknown,Pierluigi Collina,Match Report,2003-2004,,0.0,0.0,0,0,0,-1,0,0.4,0.4
2003-08-27,Unknown,Third qualifying round,Wed,Home,W,2,1,be Club Brugge,0.0,0.0,Unknown,Unknown,Mike Riley,Match Report,2003-2004,,0.0,0.0,2,4,1,1,1,0.4,0.4
2011-09-13,Unknown,Group stage,Tue,Home,D,1,1,eng Arsenal,0.0,0.0,Unknown,Unknown,Gianluca Rocchi,Match Report,2011-2012,,0.0,0.0,0,0,0,0,1,0.6,0.8
2011-09-28,Unknown,Group stage,Wed,Away,L,0,3,fr Marseille,0.0,0.0,Unknown,Unknown,Jonas Eriksson,Match Report,2011-2012,,0.0,0.0,0,0,0,-3,0,0.6,0.8
2011-10-19,Unknown,Group stage,Wed,Away,L,1,3,gr Olympiacos,0.0,0.0,Unknown,Unknown,Bas Nijhuis,Match Report,2011-2012,,0.0,0.0,0,0,0,-2,0,0.4,-0.4
2011-11-01,Unknown,Group stage,Tue,Home,W,1,0,gr Olympiacos,0.0,0.0,Unknown,Unknown,Vladislav Bezborodov,Match Report,2011-2012,,0.0,0.0,0,0,1,1,1,0.2,-1.0
2011-11-23,Unknown,Group stage,Wed,Away,L,1,2,eng Arsenal,0.0,0.0,Unknown,Unknown,Frank de Bleeckere,Match Report,2011-2012,,0.0,0.0,0,0,0,-1,0,0.4,-0.6
2011-12-06,Unknown,Group stage,Tue,Home,L,2,3,fr Marseille,0.0,0.0,Unknown,Unknown,Howard Webb,Match Report,2011-2012,,0.0,0.0,0,0,0,-1,1,0.2,-1.0
2012-09-18,Unknown,Group stage,Tue,Home,W,1,0,nl Ajax,0.0,0.0,Unknown,Unknown,Paolo Tagliavento,Match Report,2012-2013,,0.0,0.0,0,0,1,1,1,0.2,-1.2
2012-10-03,Unknown,Group stage,Wed,Away,D,1,1,eng Manchester City,0.0,0.0,Unknown,Unknown,Pavel Královec,Match Report,2012-2013,,0.0,0.0,0,0,0,0,0,0.4,-0.4
2012-10-24,Unknown,Group stage,Wed,Home,W,2,1,es Real Madrid,0.0,0.0,Unknown,Unknown,Viktor Kassai,Match Report,2012-2013,,0.0,0.0,0,0,1,1,1,0.4,0.0
2012-11-06,Unknown,Group stage,Tue,Away,D,2,2,es Real Madrid,0.0,0.0,Unknown,Unknown,Cüneyt Çakır,Match Report,2012-2013,,0.0,0.0,0,0,0,0,0,0.4,0.0
2012-11-21,Unknown,Group stage,Wed,Away,W,4,1,nl Ajax,0.0,0.0,Unknown,Unknown,Pedro Proença,Match Report,2012-2013,,0.0,0.0,0,0,1,3,0,0.4,0.2
2012-12-04,Unknown,Group stage,Tue,Home,W,1,0,eng Manchester City,0.0,0.0,Unknown,Unknown,Milorad Mažić,Match Report,2012-2013,,0.0,0.0,0,0,1,1,1,0.6,1.0
2013-02-13,Unknown,Round of 16,Wed,Away,D,2,2,ua Shakhtar,0.0,0.0,Unknown,Unknown,Howard Webb,Match Report,2012-2013,,0.0,0.0,0,0,0,0,0,0.6,1.0
2013-03-05,Unknown,Round of 16,Tue,Home,W,3,0,ua Shakhtar,0.0,0.0,Unknown,Unknown,Damir Skomina,Match Report,2012-2013,,0.0,0.0,0,0,1,3,1,0.6,1.0
2013-04-03,Unknown,Quarter-finals,Wed,Away,D,0,0,es Málaga,0.0,0.0,Unknown,Unknown,Jonas Eriksson,Match Report,2012-2013,,0.0,0.0,0,0,0,0,0,0.6,1.4
2013-04-09,Unknown,Quarter-finals,Tue,Home,W,3,2,es Málaga,0.0,0.0,Unknown,Unknown,Craig Thomson,Match Report,2012-2013,,0.0,0.0,0,0,1,1,1,0.6,1.4
2013-04-24,Unknown,Semi-finals,Wed,Home,W,4,1,es Real Madrid,0.0,0.0,Unknown,Unknown,Björn Kuipers,Match Report,2012-2013,,0.0,0.0,0,0,1,3,1,0.6,1.0
2013-04-30,Unknown,Semi-finals,Tue,Away,L,0,2,es Real Madrid,0.0,0.0,Unknown,Unknown,Howard Webb,Match Report,2012-2013,,0.0,0.0,0,0,0,-2,0,0.6,1.4
2013-05-25,Unknown,Final,Sat,Neutral,L,1,2,de Bayern Munich,0.0,0.0,Unknown,Unknown,Nicola Rizzoli,Match Report,2012-2013,,0.0,0.0,0,0,0,-1,0,0.6,1.0
2013-09-18,Unknown,Group stage,Wed,Away,L,1,2,it Napoli,0.0,0.0,Unknown,4-2-3-1,Pedro Proença,Match Report,2013-2014,,0.0,0.0,0,0,0,-1,0,0.4,0.2
2013-10-01,Unknown,Group stage,Tue,Home,W,3,0,fr Marseille,0.0,0.0,Unknown,4-2-3-1,Fernández Borbalán,Match Report,2013-2014,,0.0,0.0,0,0,1,3,1,0.4,0.0
2013-10-22,Unknown,Group stage,Tue,Away,W,2,1,eng Arsenal,0.0,0.0,Unknown,4-2-3-1,Jonas Eriksson,Match Report,2013-2014,,0.0,0.0,0,0,1,1,0,0.4,0.4
2013-11-06,Unknown,Group stage,Wed,Home,L,0,1,eng Arsenal,0.0,0.0,Unknown,4-2-3-1,Björn Kuipers,Match Report,2013-2014,,0.0,0.0,0,0,0,-1,1,0.4,0.0
2013-11-26,Unknown,Group stage,Tue,Home,W,3,1,it Napoli,0.0,0.0,Unknown,4-2-3-1,Velasco Carballo,Match Report,2013-2014,,0.0,0.0,0,0,1,2,1,0.4,0.2
2013-12-11,Unknown,Group stage,Wed,Away,W,2,1,fr Marseille,0.0,0.0,Unknown,4-2-3-1,Marijo Strahonja,Match Report,2013-2014,,0.0,0.0,0,0,1,1,0,0.6,0.8
2014-02-25,Unknown,Round of 16,Tue,Away,W,4,2,ru Zenit,0.0,0.0,Unknown,4-2-3-1,William Collum,Match Report,2013-2014,,0.0,0.0,0,0,1,2,0,0.8,1.2
2014-03-19,Unknown,Round of 16,Wed,Home,L,1,2,ru Zenit,0.0,0.0,Unknown,4-2-3-1,Undiano Mallenco,Match Report,2013-2014,,0.0,0.0,0,0,0,-1,1,0.8,1.0
2014-04-02,Unknown,Quarter-finals,Wed,Away,L,0,3,es Real Madrid,0.0,0.0,Unknown,4-2-3-1,Mark Clattenburg,Match Report,2013-2014,,0.0,0.0,0,0,0,-3,0,0.6,0.6
2014-04-08,Unknown,Quarter-finals,Tue,Home,W,2,0,es Real Madrid,0.0,0.0,Unknown,4-1-4-1,Damir Skomina,Match Report,2013-2014,,0.0,0.0,0,0,1,2,1,0.6,0.2
2014-09-16,20:45,Group stage,Tue,Home,W,2,0,eng Arsenal,47.0,65851.0,Unknown,4-4-2,Olegário Benquerença,Match Report,2014-2015,,0.0,0.0,0,0,1,2,1,0.6,0.2
2014-10-01,20:45,Group stage,Wed,Away,W,3,0,be Anderlecht,49.0,18649.0,Unknown,4-2-3-1,Paolo Tagliavento,Match Report,2014-2015,,0.0,0.0,0,0,1,3,0,0.6,0.4
2014-10-22,21:45,Group stage,Wed,Away,W,4,0,tr Galatasaray,43.0,36324.0,Unknown,4-2-3-1,Antonio Matéu Lahoz,Match Report,2014-2015,,0.0,0.0,0,0,1,4,0,0.6,0.6
2014-11-04,20:45,Group stage,Tue,Home,W,4,1,tr Galatasaray,58.0,78000.0,Unknown,4-2-3-1,Pavel Královec,Match Report,2014-2015,,0.0,0.0,0,0,1,3,1,0.8,1.6
2014-11-26,19:45,Group stage,Wed,Away,L,0,2,eng Arsenal,53.0,59902.0,Unknown,4-4-2,Viktor Kassai,Match Report,2014-2015,,0.0,0.0,0,0,0,-2,0,1.0,2.8
2014-12-09,20:45,Group stage,Tue,Home,D,1,1,be Anderlecht,58.0,65851.0,Unknown,4-2-3-1,Alberto Undiano,Match Report,2014-2015,,0.0,0.0,0,0,0,0,1,0.8,2.0
2015-02-24,20:45,Round of 16,Tue,Away,L,1,2,it Juventus,52.0,41182.0,Unknown,4-2-3-1,Antonio Matéu Lahoz,Match Report,2014-2015,,0.0,0.0,0,0,0,-1,0,0.6,1.6
2015-03-18,20:45,Round of 16,Wed,Home,L,0,3,it Juventus,55.0,65851.0,Unknown,4-2-3-1,Milorad Mažić,Match Report,2014-2015,,0.0,0.0,0,0,0,-3,1,0.4,0.8
2016-09-14,20:45,Group stage,Wed,Away,W,6,0,pl Legia Warsaw,68.0,27304.0,Marcel Schmelzer,4-1-4-1,Sergey Karasev,Match Report,2016-2017,,0.0,0.0,0,0,1,6,0,0.2,-0.6
2016-09-27,20:45,Group stage,Tue,Home,D,2,2,es Real Madrid,60.0,65849.0,Marcel Schmelzer,4-1-4-1,Mark Clattenburg,Match Report,2016-2017,,0.0,0.0,0,0,0,0,1,0.2,0.0
2016-10-18,19:45,Group stage,Tue,Away,W,2,1,pt Sporting CP,57.0,46609.0,Sokratis Papastathopoulos,4-1-4-1,Damir Skomina,Match Report,2016-2017,,0.0,0.0,0,0,1,1,0,0.2,0.4
2016-11-02,20:45,Group stage,Wed,Home,W,1,0,pt Sporting CP,53.0,65849.0,Sokratis Papastathopoulos,4-1-4-1,Danny Makkelie,Match Report,2016-2017,,0.0,0.0,0,0,1,1,1,0.4,0.6
2016-11-22,20:45,Group stage,Tue,Home,W,8,4,pl Legia Warsaw,70.0,55094.0,Marco Reus,4-2-3-1,Martin Strömbergsson,Match Report,2016-2017,,0.0,0.0,0,0,1,4,1,0.6,1.0
2016-12-07,20:45,Group stage,Wed,Away,D,2,2,es Real Madrid,54.0,76894.0,Marcel Schmelzer,4-2-3-1,Szymon Marciniak,Match Report,2016-2017,,0.0,0.0,0,0,0,0,0,0.8,2.4
2017-02-14,19:45,Round of 16,Tue,Away,L,0,1,pt Benfica,69.0,55124.0,Marcel Schmelzer,3-5-2,Nicola Rizzoli,Match Report,2016-2017,,0.0,0.0,0,0,0,-1,0,0.6,1.2
2017-03-08,20:45,Round of 16,Wed,Home,W,4,0,pt Benfica,55.0,65849.0,Marcel Schmelzer,3-4-3,Martin Atkinson,Match Report,2016-2017,,0.0,0.0,0,0,1,4,1,0.6,1.0
2017-04-12,18:45,Quarter-finals,Wed,Home,L,2,3,fr Monaco,69.0,65849.0,Marcel Schmelzer,3-4-1-2,Daniele Orsato,Match Report,2016-2017,,0.0,0.0,0,0,0,-1,1,0.6,1.6
2017-04-19,20:45,Quarter-finals,Wed,Away,L,1,3,fr Monaco,69.0,17135.0,Marco Reus,3-4-3,Damir Skomina,Match Report,2016-2017,,0.0,0.0,0,0,0,-2,0,0.4,1.2
2017-09-13,19:45,Group stage,Wed,Away,L,1,3,eng Tottenham,67.0,67343.0,Sokratis Papastathopoulos,4-3-3,Gianluca Rocchi,Match Report,2017-2018,,0.8,1.2,0,0,0,-2,0,0.2,0.0
2017-09-26,20:45,Group stage,Tue,Home,L,1,3,es Real Madrid,53.0,65849.0,Sokratis Papastathopoulos,4-3-3,Björn Kuipers,Match Report,2017-2018,,1.2,3.2,0,0,0,-2,1,0.2,-0.4
2017-10-17,21:45,Group stage,Tue,Away,D,1,1,cy APOEL FC,71.0,15604.0,Marcel Schmelzer,4-3-3,Aliaksei Kulbakov,Match Report,2017-2018,,2.1,1.0,0,0,0,0,0,0.2,-0.6
2017-11-01,20:45,Group stage,Wed,Home,D,1,1,cy APOEL FC,77.0,64500.0,Sokratis Papastathopoulos,4-1-4-1,Matej Jug,Match Report,2017-2018,,2.8,0.6,0,0,0,0,1,0.0,-1.4
2017-11-21,20:45,Group stage,Tue,Home,L,1,2,eng Tottenham,49.0,65849.0,Marcel Schmelzer,4-1-4-1,Clément Turpin,Match Report,2017-2018,,1.1,1.1,0,0,0,-1,1,0.0,-1.2
2017-12-06,20:45,Group stage,Wed,Away,L,2,3,es Real Madrid,33.0,73323.0,Marcel Schmelzer,3-4-3,Pavel Královec,Match Report,2017-2018,,1.7,2.7,0,0,0,-1,0,0.0,-1.0
2018-09-18,21:00,Group stage,Tue,Away,W,1,0,be Club Brugge,64.0,25181.0,Marco Reus,4-2-3-1,Danny Makkelie,Match Report,2018-2019,,1.0,0.6,0,0,1,1,0,0.0,-0.8
2018-10-03,21:00,Group stage,Wed,Home,W,3,0,fr Monaco,58.0,66099.0,Marco Reus,4-2-3-1,Aliaksei Kulbakou,Match Report,2018-2019,,3.2,0.5,0,0,1,3,1,0.2,-0.2
2018-10-24,21:00,Group stage,Wed,Home,W,4,0,es Atlético Madrid,49.0,66099.0,Marco Reus,4-2-3-1,Anthony Taylor,Match Report,2018-2019,,2.0,0.6,0,0,1,4,1,0.4,0.4
2018-11-06,21:00,Group stage,Tue,Away,L,0,2,es Atlético Madrid,68.0,61023.0,Marco Reus,4-2-3-1,Daniele Orsato,Match Report,2018-2019,,0.6,1.5,0,0,0,-2,0,0.6,1.2
2018-11-28,21:00,Group stage,Wed,Home,D,0,0,be Club Brugge,73.0,66099.0,Marco Reus,4-2-3-1,Gediminas Mažeika,Match Report,2018-2019,,1.2,0.3,0,0,0,0,1,0.6,1.0
