Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Season,xG,xGA
1997-09-17,,,Group stage,Wed,Home,W,4.0,1.0,no Rosenborg,,,,,Gilles Veissière,Match Report,,1997-1998,,
1997-10-01,,,Group stage,Wed,Away,W,2.0,0.0,pt Porto,,,,,Piero Ceccarini,Match Report,,1997-1998,,
1997-10-22,,,Group stage,Wed,Home,W,5.0,1.0,gr Olympiacos,,,,,Pierluigi Collina,Match Report,,1997-1998,,
1997-11-05,,,Group stage,Wed,Away,D,0.0,0.0,gr Olympiacos,,,,,Hellmut Krug,Match Report,,1997-1998,,
1997-11-27,,,Group stage,Thu,Away,L,0.0,2.0,no Rosenborg,,,,,Paul Durkin,Match Report,,1997-1998,,
1997-12-10,,,Group stage,Wed,Home,W,4.0,0.0,pt Porto,,,,,Pierluigi Pairetto,Match Report,,1997-1998,,
1998-03-04,,,Quarter-finals,Wed,Away,D,1.0,1.0,de Leverkusen,,,,,Kim Milton Nielsen,Match Report,Leg 1 of 2,1997-1998,,
1998-03-18,,,Quarter-finals,Wed,Home,W,3.0,0.0,de Leverkusen,,,,,Nikolai Levnikov,Match Report,Leg 2 of 2; Real Madrid won,1997-1998,,
1998-04-01,,,Semi-finals,Wed,Home,W,2.0,0.0,de Dortmund,,,,,Mario van der Ende,Match Report,Leg 1 of 2,1997-1998,,
1998-04-15,,,Semi-finals,Wed,Away,D,0.0,0.0,de Dortmund,,,,,Paul Durkin,Match Report,Leg 2 of 2; Real Madrid won,1997-1998,,
1998-05-20,,,Final,Wed,Neutral,W,1.0,0.0,it Juventus,,,,,Hellmut Krug,Match Report,,1997-1998,,
1998-09-16,,,Group stage,Wed,Home,W,2.0,0.0,it Inter,,,,,Hugh Dallas,Match Report,,1998-1999,,
1998-09-30,,,Group stage,Wed,Away,L,1.0,2.0,ru Spartak Moscow,,,,,Bernd Heynemann,Match Report,,1998-1999,,
1998-10-21,,,Group stage,Wed,Home,W,6.0,1.0,at Sturm Graz,,,,,Graham Barber,Match Report,,1998-1999,,
1998-11-05,,,Group stage,Thu,Away,W,5.0,1.0,at Sturm Graz,,,,,Karl-Erik Nilsson,Match Report,,1998-1999,,
1998-11-25,,,Group stage,Wed,Away,L,1.0,3.0,it Inter,,,,,Markus Merk,Match Report,,1998-1999,,
1998-12-09,,,Group stage,Wed,Home,W,2.0,1.0,ru Spartak Moscow,,,,,László Vagner,Match Report,,1998-1999,,
1999-03-03,,,Quarter-finals,Wed,Home,D,1.0,1.0,ua Dynamo Kyiv,,,,,Stefano Braschi,Match Report,Leg 1 of 2,1998-1999,,
1999-03-17,,,Quarter-finals,Wed,Away,L,0.0,2.0,ua Dynamo Kyiv,,,,,Anders Frisk,Match Report,Leg 2 of 2; Dynamo Kyiv won,1998-1999,,
1999-09-15,,,First group stage,Wed,Away,D,3.0,3.0,gr Olympiacos,,,,,Mario van der Ende,Match Report,,1999-2000,,
1999-09-21,,,First group stage,Tue,Home,W,4.0,1.0,no Molde,,,,,Hartmut Strampe,Match Report,,1999-2000,,
1999-09-28,,,First group stage,Tue,Home,W,3.0,1.0,pt Porto,,,,,Pierluigi Collina,Match Report,,1999-2000,,
1999-10-20,,,First group stage,Wed,Away,L,1.0,2.0,pt Porto,,,,,Bernd Heynemann,Match Report,,1999-2000,,
1999-10-26,,,First group stage,Tue,Home,W,3.0,0.0,gr Olympiacos,,,,,Markus Merk,Match Report,,1999-2000,,
1999-11-03,,,First group stage,Wed,Away,W,1.0,0.0,no Molde,,,,,Gilles Veissière,Match Report,,1999-2000,,
1999-11-24,,,Second group stage,Wed,Away,W,2.0,1.0,ua Dynamo Kyiv,,,,,David Elleray,Match Report,,1999-2000,,
1999-12-07,,,Second group stage,Tue,Home,W,3.0,1.0,no Rosenborg,,,,,Michel Piraux,Match Report,,1999-2000,,
2000-02-29,,,Second group stage,Tue,Home,L,2.0,4.0,de Bayern Munich,,,,,Kim Milton Nielsen,Match Report,,1999-2000,,
2000-03-08,,,Second group stage,Wed,Away,L,1.0,4.0,de Bayern Munich,,,,,Dick Jol,Match Report,,1999-2000,,
2000-03-14,,,Second group stage,Tue,Home,D,2.0,2.0,ua Dynamo Kyiv,,,,,Alain Sars,Match Report,,1999-2000,,
2000-03-22,,,Second group stage,Wed,Away,W,1.0,0.0,no Rosenborg,,,,,Nikolay Levnikov,Match Report,,1999-2000,,
2000-04-04,,,Quarter-finals,Tue,Home,D,0.0,0.0,eng Manchester Utd,,,,,Gilles Veissière,Match Report,Leg 1 of 2,1999-2000,,
2000-04-19,,,Quarter-finals,Wed,Away,W,3.0,2.0,eng Manchester Utd,,,,,Pierluigi Collina,Match Report,Leg 2 of 2; Real Madrid won,1999-2000,,
2000-05-03,,,Semi-finals,Wed,Home,W,2.0,0.0,de Bayern Munich,,,,,Anders Frisk,Match Report,Leg 1 of 2,1999-2000,,
2000-05-09,,,Semi-finals,Tue,Away,L,1.0,2.0,de Bayern Munich,,,,,Graham Poll,Match Report,Leg 2 of 2; Real Madrid won,1999-2000,,
2000-05-24,,,Final,Wed,Neutral,W,3.0,0.0,es Valencia,,,,,Stefano Braschi,Match Report,,1999-2000,,
2000-09-12,,,First group stage,Tue,Away,D,2.0,2.0,pt Sporting CP,,,,,Alfredo Trentalange,Match Report,,2000-2001,,
2000-09-20,,,First group stage,Wed,Home,W,1.0,0.0,ru Spartak Moscow,,,,,Leslie Irvine,Match Report,,2000-2001,,
2000-09-27,,,First group stage,Wed,Away,W,3.0,2.0,de Leverkusen,,,,,Karl-Erik Nilsson,Match Report,,2000-2001,,
2000-10-17,,,First group stage,Tue,Home,W,5.0,3.0,de Leverkusen,,,,,Domenico Messina,Match Report,,2000-2001,,
2000-10-25,,,First group stage,Wed,Home,W,4.0,0.0,pt Sporting CP,,,,,Urs Meier,Match Report,,2000-2001,,
2000-11-07,,,First group stage,Tue,Away,L,0.0,1.0,ru Spartak Moscow,,,,,Stéphane Bré,Match Report,,2000-2001,,
2000-11-22,,,Second group stage,Wed,Away,W,2.0,0.0,eng Leeds United,,,,,Dick Jol,Match Report,,2000-2001,,
2000-12-05,,,Second group stage,Tue,Home,W,4.0,1.0,be Anderlecht,,,,,Hugh Dallas,Match Report,,2000-2001,,
2001-02-13,,,Second group stage,Tue,Home,W,3.0,2.0,it Lazio,,,,,Gilles Veissière,Match Report,,2000-2001,,
2001-02-21,,,Second group stage,Wed,Away,D,2.0,2.0,it Lazio,,,,,Vítor Melo Pereira,Match Report,,2000-2001,,
2001-03-06,,,Second group stage,Tue,Home,W,3.0,2.0,eng Leeds United,,,,,Ryszard Wójcik,Match Report,,2000-2001,,
2001-03-14,,,Second group stage,Wed,Away,L,0.0,2.0,be Anderlecht,,,,,Alain Sars,Match Report,,2000-2001,,
2001-04-03,,,Quarter-finals,Tue,Away,L,2.0,3.0,tr Galatasaray,,,,,Pierluigi Collina,Match Report,Leg 1 of 2,2000-2001,,
2001-04-18,,,Quarter-finals,Wed,Home,W,3.0,0.0,tr Galatasaray,,,,,Anders Frisk,Match Report,Leg 2 of 2; Real Madrid won,2000-2001,,
